"Provider","Service Offering","Service Model","Impact Level","Status","Authorizations","Reuse"
"18F - 18F Cloud.gov","Cloud.Gov","PaaS","Moderate","FedRAMP Authorized","18","17"
"1901 Group","in3sight","SaaS","Moderate","FedRAMP Authorized","3","2"
"3M","RevCycle Health Services Platform (RHSP)","SaaS","Moderate","FedRAMP Authorized","1","0"
"Absolute Software ","Absolute Secure Endpoint product suite ","SaaS","Moderate","FedRAMP Ready","0","0"
"Acadis","Acadis Readiness Suite","SaaS","Moderate","FedRAMP Authorized","7","6"
"Accellion USA, LLC.","Kiteworks Federal Cloud","SaaS","Moderate","FedRAMP Authorized","15","16"
"Accenture Federal Services","Accenture Extended Detection and Response (XDR) for government","SaaS","Moderate","FedRAMP Authorized","4","3"
"Accenture Federal Services","Accenture Federal Cloud ERP","SaaS","Moderate","FedRAMP Authorized","2","1"
"Accenture Federal Services","Accenture Insights Platform (AIP) For Government","PaaS","High","FedRAMP Authorized","6","7"
"AchieveIt Online, LLC","AchieveIt","SaaS","Low","FedRAMP Authorized","1","0"
"Acquia Inc.","Acquia Cloud","PaaS","Moderate","FedRAMP Authorized","23","22"
"Actsoft, Inc","Actsoft Workforce Manager for Gov.","SaaS","Moderate","FedRAMP In Process","0","0"
"Acuant, Inc.","Connect, Ozone, & Facial Recognition System (COFRS)","SaaS","Moderate","FedRAMP Authorized","1","0"
"Adobe","Adobe Document Cloud including Adobe Acrobat, Adobe Acrobat Sign, and Adobe Acrobat Services (APIs)","SaaS","LI-SaaS","FedRAMP Authorized","8","8"
"Adobe","Adobe Connect Managed Services (ACMS-GC)","SaaS","Moderate","FedRAMP Authorized","5","4"
"Adobe","Adobe Creative Cloud for Enterprise","SaaS","LI-SaaS","FedRAMP Authorized","7","10"
"Adobe","Adobe Analytics","SaaS","LI-SaaS","FedRAMP Authorized","3","2"
"Adobe","Adobe Learning Manager","SaaS","LI-SaaS","FedRAMP Authorized","2","1"
"Adobe","Adobe Experience Manager Managed Services (AEMMS-GC)","SaaS","Moderate","FedRAMP Authorized","9","8"
"Adobe","Adobe Acrobat Sign for Government","SaaS","Moderate","FedRAMP Authorized","6","5"
"Adobe","Adobe Campaign","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"AINS dba OPEXUS","AINS dba OPEXUS - eCase","PaaSSaaS","Moderate","FedRAMP Authorized","38","37"
"Akamai","Content Delivery Services","IaaS","Moderate","FedRAMP Authorized","25","294"
"Amazon","AWS GovCloud","IaaSPaaSSaaS","High","FedRAMP Authorized","51","777"
"Amazon","AWS US East/West","IaaSPaaSSaaS","Moderate","FedRAMP Authorized","58","674"
"Amplifire","Amplifire","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Appian","Appian Cloud","PaaS","Moderate","FedRAMP Authorized","18","17"
"Appian","Appian Government Cloud - High","PaaSSaaS","High","FedRAMP In Process","0","0"
"Apptio","Apptio for Technology Business Management and Cloud Financial Management (TBM) ","SaaS","Moderate","FedRAMP Authorized","7","6"
"Aprimo US, LLC","Aprimo","SaaS","LI-SaaS","FedRAMP In Process","0","0"
"Aqua Security Software Inc.","Aqua Platform for Government","SaaS","High","FedRAMP In Process","0","0"
"Armedia, LLC","Armedia Content Cloud","SaaS","Moderate","FedRAMP In Process","0","0"
"Armis Federal LLC","Armis FedRAMP Edition (AFE)","SaaS","Moderate","FedRAMP Authorized","2","1"
"Articulate Global LLC","Articulate 360","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Aruba Networks","Aruba Central","SaaS","Moderate","FedRAMP Authorized","8","7"
"Ask Sage, Inc.","Ask Sage","SaaS","High","FedRAMP In Process","0","0"
"AT&T Cybersecurity","AT&T Threat Detection and Response for Government","SaaS","Moderate","FedRAMP Authorized","1","31"
"ATOM EVSE","Atom Power, Inc - ATOM EVSE","SaaS","LI-SaaS","FedRAMP In Process","0","0"
"Aurigo Software Technologies, Inc.","Masterworks Cloud Platform","SaaS","Moderate","FedRAMP In Process","0","0"
"Authentic8, Inc.","Silo","SaaS","Moderate","FedRAMP Authorized","8","7"
"Autodesk","Autodesk for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Automattic, Inc.","WordPress VIP - Moderate","SaaS","Moderate","FedRAMP In Process","0","0"
"Automattic, Inc.","WordPress VIP Go","SaaS","LI-SaaS","FedRAMP Authorized","3","2"
"Avaya, Inc.","Avaya Government Cloud","SaaS","Moderate","FedRAMP Authorized","4","3"
"AvePoint Inc.","AvePoint Online Services for US Government (AOS-UG)","SaaS","Moderate","FedRAMP Authorized","4","3"
"Avue Technologies","Avue Digital Services","SaaS","Moderate","FedRAMP Authorized","4","3"
"Axiad IDS Inc.","Axiad Cloud","SaaS","Moderate","FedRAMP Ready","0","0"
"Axon","US Axon FedCloud - High","SaaS","High","FedRAMP Authorized","13","12"
"Axonius Federal Systems","Axonius Platform","SaaS","Moderate","FedRAMP In Process","0","0"
"Bamboo Health, Inc.","PMP Government-Gateway","SaaS","Moderate","FedRAMP In Process","0","0"
"BetterUp, Inc.","BetterUp for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"BeyondTrust","Secure Remote Access","SaaS","Moderate","FedRAMP In Process","0","0"
"Bizagi Corp.","Bizagi Cloud for US Government","PaaS","Moderate","FedRAMP Authorized","2","1"
"BlackBerry","BlackBerry Cloud - AtHoc Services for Government","SaaS","Moderate","FedRAMP Authorized","21","20"
"BlackBerry","BlackBerry CylanceProtect & CylanceOptics","SaaS","Moderate","FedRAMP Authorized","4","9"
"BlackBerry","BlackBerry Government Mobility Suite","SaaS","Moderate","FedRAMP Authorized","1","0"
"Blackboard","Blackboard Learn SaaS","SaaS","Moderate","FedRAMP Authorized","9","8"
"Bluescape","Bluescape for Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"BMC Software","BMC Helix","SaaS","Moderate","FedRAMP Authorized","6","5"
"Boomi","AtomSphere","SaaS","Moderate","FedRAMP Authorized","1","2"
"Booz Allen Hamilton","Supply Chain Master Catalog powered by ProdigoMarketplace","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
